date,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,new_cases
2020-03-22,-25.857,-10.714,7.286,-21.714,-15.714,-16.143,66.0
2020-03-23,-32.429,-14.857,9.714,-28.286,-20.571,-22.714,103.0
2020-03-24,-40.571,-21.714,12.857,-36.143,-26.571,-30.857,37.0
2020-03-25,-49.857,-31.0,16.571,-45.143,-33.286,-40.0,121.0
2020-03-26,-58.429,-40.286,20.143,-53.571,-39.571,-48.429,70.0
2020-03-27,-66.286,-49.571,23.571,-61.429,-45.143,-56.286,160.0
2020-03-28,-72.571,-58.286,26.571,-68.286,-49.571,-63.143,100.0
2020-03-29,-72.429,-56.714,26.714,-68.429,-49.429,-62.857,37.0
2020-03-30,-75.571,-61.857,28.143,-71.571,-51.714,-65.429,227.0
2020-03-31,-76.571,-64.0,28.714,-72.857,-52.571,-65.857,146.0
2020-04-01,-76.429,-64.0,28.571,-72.857,-52.429,-65.286,601.0
2020-04-02,-76.429,-64.143,28.571,-73.0,-52.429,-65.143,545.0
2020-04-03,-76.286,-63.857,28.429,-73.0,-52.286,-64.714,24.0
2020-04-04,-76.143,-63.714,28.286,-73.0,-52.143,-64.0,515.0
2020-04-05,-76.143,-63.714,28.143,-73.0,-52.0,-63.429,506.0
2020-04-06,-76.143,-63.714,28.143,-72.857,-51.857,-63.429,1190.0
2020-04-07,-76.571,-62.286,28.0,-72.0,-51.286,-63.286,533.0
2020-04-08,-76.857,-60.571,28.0,-71.286,-50.714,-63.143,605.0
2020-04-09,-77.143,-59.0,28.0,-70.429,-50.286,-63.0,809.0
2020-04-10,-77.571,-57.714,28.286,-69.857,-49.857,-63.286,873.0
2020-04-11,-78.0,-56.429,28.571,-69.286,-49.714,-63.714,848.0
2020-04-12,-78.286,-55.143,28.714,-68.714,-49.429,-63.857,759.0
2020-04-13,-78.571,-53.714,28.857,-68.143,-49.143,-63.571,1248.0
2020-04-14,-78.571,-54.0,29.143,-68.429,-49.286,-63.857,1034.0
2020-04-15,-78.571,-53.857,29.143,-68.143,-49.286,-63.429,835.0
2020-04-16,-79.571,-52.429,29.143,-67.714,-51.0,-63.0,1108.0
2020-04-17,-80.429,-51.0,29.0,-67.143,-52.714,-62.429,922.0
2020-04-18,-81.429,-50.286,28.714,-66.857,-54.714,-61.857,1370.0
2020-04-19,-82.429,-49.429,28.714,-66.571,-56.714,-61.571,1893.0
2020-04-20,-83.571,-48.571,28.571,-66.286,-58.714,-61.143,924.0
2020-04-21,-84.571,-47.429,28.429,-65.857,-60.857,-60.429,1541.0
2020-04-22,-85.714,-46.714,28.429,-65.857,-63.0,-60.286,1290.0
2020-04-23,-85.857,-47.143,28.429,-66.0,-63.286,-60.143,1707.0
2020-04-24,-85.857,-47.286,28.286,-66.143,-63.714,-59.857,1453.0
2020-04-25,-85.714,-46.714,28.429,-66.0,-63.571,-59.714,1753.0
2020-04-26,-85.714,-46.857,28.429,-66.143,-63.571,-59.571,1607.0
2020-04-27,-85.571,-46.857,28.571,-66.143,-63.571,-59.429,1561.0
2020-04-28,-85.571,-46.714,28.429,-66.143,-63.429,-59.286,1873.0
2020-04-29,-85.429,-46.429,28.429,-65.857,-63.286,-59.0,1738.0
2020-04-30,-85.143,-45.857,28.286,-65.571,-63.0,-58.571,1801.0
2020-05-01,-85.143,-45.714,28.286,-65.429,-62.857,-58.714,2394.0
2020-05-02,-85.0,-45.429,28.0,-65.143,-62.714,-58.0,2442.0
2020-05-03,-84.857,-44.714,27.857,-64.714,-62.571,-57.429,2806.0
2020-05-04,-84.286,-43.0,27.286,-63.857,-62.286,-56.571,3932.0
2020-05-05,-83.714,-41.429,27.0,-62.857,-62.143,-55.571,2963.0
2020-05-06,-82.857,-39.429,26.429,-61.714,-61.857,-54.571,3587.0
2020-05-07,-82.143,-37.714,26.0,-60.714,-61.714,-53.857,3364.0
2020-05-08,-81.286,-35.571,25.429,-59.429,-61.286,-52.143,3344.0
2020-05-09,-80.571,-33.857,25.143,-58.429,-61.0,-51.429,3113.0
2020-05-10,-80.143,-32.857,24.857,-57.714,-60.714,-50.714,4353.0
2020-05-11,-79.714,-31.857,24.571,-57.0,-60.429,-49.857,3607.0
2020-05-12,-79.286,-30.857,24.286,-56.429,-60.0,-49.286,3524.0
2020-05-13,-79.0,-30.286,24.0,-56.0,-59.714,-48.571,3763.0
2020-05-14,-78.714,-29.714,23.571,-55.571,-59.429,-47.571,3942.0
2020-05-15,-78.286,-28.857,23.143,-55.0,-59.0,-47.0,3787.0
2020-05-16,-77.857,-27.857,22.714,-54.286,-58.571,-45.857,4864.0
2020-05-17,-77.429,-26.857,22.429,-53.714,-58.286,-45.143,5050.0
2020-05-18,-76.857,-25.857,22.0,-53.143,-58.0,-44.429,4630.0
2020-05-19,-76.143,-24.714,21.571,-52.429,-57.857,-43.571,6147.0
2020-05-20,-75.429,-24.0,21.286,-51.857,-57.714,-42.857,5553.0
2020-05-21,-74.714,-23.0,21.0,-51.143,-57.571,-42.143,6198.0
2020-05-22,-74.143,-22.286,20.714,-50.571,-57.571,-41.286,6568.0
2020-05-23,-73.429,-21.286,20.286,-50.0,-57.571,-40.714,6629.0
2020-05-24,-73.0,-20.714,20.0,-49.429,-57.286,-40.286,7113.0
2020-05-25,-72.571,-20.429,20.0,-49.286,-57.143,-41.143,6414.0
2020-05-26,-72.143,-19.857,19.714,-48.714,-56.857,-40.571,5843.0
2020-05-27,-71.714,-18.714,19.429,-48.143,-56.571,-39.857,7293.0
2020-05-28,-71.286,-17.857,19.143,-47.714,-56.286,-39.286,7300.0
2020-05-29,-70.857,-16.857,18.857,-47.286,-56.0,-38.714,8105.0
2020-05-30,-70.429,-16.0,18.571,-46.714,-55.857,-37.571,8336.0
2020-05-31,-70.0,-15.143,18.429,-46.143,-55.857,-36.429,8782.0
2020-06-01,-69.143,-13.0,17.714,-44.714,-55.571,-34.143,7761.0
2020-06-02,-68.429,-11.286,17.286,-43.857,-55.429,-33.429,8821.0
2020-06-03,-67.857,-10.0,17.0,-43.143,-55.286,-32.857,9633.0
2020-06-04,-67.143,-8.571,16.571,-42.143,-55.143,-32.143,9889.0
2020-06-05,-66.143,-7.429,16.286,-41.286,-54.857,-31.571,9471.0
2020-06-06,-65.286,-6.429,16.0,-40.571,-54.429,-31.143,10438.0
2020-06-07,-64.429,-5.286,15.714,-39.857,-54.0,-30.857,10864.0
2020-06-08,-63.571,-4.429,15.429,-39.429,-53.714,-30.429,8442.0
2020-06-09,-62.714,-3.857,15.286,-39.0,-53.429,-30.0,10218.0
2020-06-10,-61.714,-3.0,15.0,-38.286,-53.0,-29.571,10459.0
2020-06-11,-60.714,-2.143,14.857,-37.857,-52.429,-29.286,10930.0
2020-06-12,-60.0,-1.0,14.571,-37.429,-52.143,-29.143,11458.0
2020-06-13,-59.429,-0.429,14.571,-37.143,-51.857,-29.571,11929.0
2020-06-14,-59.0,-0.143,14.571,-36.857,-51.571,-29.571,11502.0
2020-06-15,-58.571,0.0,14.571,-36.714,-51.286,-29.714,10667.0
2020-06-16,-58.286,0.143,14.429,-36.714,-50.857,-29.714,10974.0
2020-06-17,-58.0,0.286,14.286,-36.714,-50.714,-29.857,12881.0
2020-06-18,-58.0,-0.143,14.286,-37.0,-50.714,-30.0,13586.0
2020-06-19,-58.0,-0.857,14.286,-37.286,-50.714,-30.143,14516.0
2020-06-20,-58.0,-1.286,14.0,-37.429,-50.714,-29.571,15403.0
2020-06-21,-58.571,-3.143,14.429,-38.571,-51.0,-30.143,14831.0
2020-06-22,-58.429,-3.0,14.429,-38.571,-51.0,-30.286,14933.0
2020-06-23,-58.286,-2.714,14.571,-38.429,-51.0,-30.571,15968.0
2020-06-24,-58.286,-2.857,14.571,-38.571,-51.0,-30.571,16922.0
2020-06-25,-58.429,-3.0,14.571,-38.571,-51.0,-30.571,17296.0
2020-06-26,-58.571,-3.0,14.571,-38.571,-50.857,-30.429,18552.0
2020-06-27,-58.714,-3.143,14.714,-38.714,-50.857,-31.0,19906.0
2020-06-28,-58.286,-2.0,14.286,-38.0,-50.714,-30.714,19459.0
2020-06-29,-58.571,-2.714,14.286,-38.286,-50.714,-30.571,18522.0
2020-06-30,-58.429,-3.143,14.143,-38.571,-50.714,-30.429,18641.0
2020-07-01,-58.429,-3.429,14.143,-38.857,-50.571,-30.429,19160.0
2020-07-02,-58.143,-3.429,14.143,-39.0,-50.429,-30.429,20903.0
2020-07-03,-58.0,-3.571,14.286,-39.143,-50.429,-30.429,22771.0
2020-07-04,-57.857,-3.571,14.286,-39.286,-50.429,-30.0,24850.0
2020-07-05,-58.286,-4.429,14.571,-40.143,-50.429,-30.571,24248.0
2020-07-06,-58.143,-4.429,14.571,-40.286,-50.429,-30.571,22251.0
2020-07-07,-58.286,-4.714,14.714,-40.429,-50.429,-30.571,22753.0
2020-07-08,-58.286,-5.143,14.857,-40.571,-50.571,-30.429,24879.0
2020-07-09,-58.429,-5.429,14.857,-40.714,-50.714,-30.286,26506.0
2020-07-10,-58.429,-5.571,14.857,-40.714,-50.857,-30.286,27114.0
2020-07-11,-58.714,-6.571,15.143,-41.143,-51.0,-31.143,28606.0
2020-07-12,-59.143,-7.571,15.286,-41.571,-51.143,-31.429,28732.0
2020-07-13,-59.0,-7.429,15.286,-41.571,-51.143,-31.429,28498.0
2020-07-14,-59.286,-7.857,15.429,-41.857,-51.286,-31.571,29429.0
2020-07-15,-59.714,-8.714,15.714,-42.143,-51.429,-31.857,32676.0
2020-07-16,-60.0,-9.571,16.0,-42.429,-51.571,-32.143,34975.0
2020-07-17,-60.286,-10.429,16.143,-42.714,-51.571,-32.286,35252.0
2020-07-18,-60.714,-11.286,16.286,-42.857,-51.571,-32.0,38697.0
2020-07-19,-60.714,-11.571,16.286,-42.857,-51.571,-32.143,40425.0
2020-07-20,-61.143,-12.857,16.571,-43.286,-51.714,-32.571,37132.0
2020-07-21,-61.286,-13.714,16.714,-43.429,-51.857,-32.714,37740.0
2020-07-22,-61.0,-13.286,16.571,-43.143,-51.857,-32.571,45720.0
2020-07-23,-61.0,-13.714,16.571,-43.286,-52.0,-32.714,49310.0
